               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14092,             0.14964,            0.077348,             0.22358,                   0,                   0,                   0,                   0,             0.13193,             0.17833,            0.069945,              0.1945,             0.00045,             0.00045,             0.09595
                   1,             0.13392,             0.19187,            0.070879,             0.20788,                   0,                   0,                   0,                   0,             0.12967,             0.19224,            0.069241,              0.1945,          0.00090996,          0.00090996,             0.09181
                   2,             0.13139,             0.18261,            0.067804,             0.20156,                   0,                   0,                   0,                   0,             0.12834,             0.20001,            0.068337,             0.19476,           0.0013697,           0.0013697,             0.08767
                   3,             0.12999,             0.19282,            0.066116,             0.19973,           0.0052683,           0.0061653,           0.0023719,          0.00058762,             0.12903,             0.18098,            0.071304,             0.22775,           0.0018292,           0.0018292,            0.083529
                   4,             0.12853,             0.19206,            0.063274,             0.19984,           0.0063003,            0.015672,           0.0029397,          0.00062721,             0.12873,             0.17075,             0.07035,             0.23857,           0.0022882,           0.0022882,            0.079388
                   5,             0.12713,             0.18252,            0.061523,             0.19862,             0.33846,            0.012818,           0.0026497,          0.00055425,             0.12574,             0.18696,            0.057925,             0.20003,           0.0027466,           0.0027466,            0.075247
                   6,             0.12616,             0.17866,            0.057521,             0.19826,           0.0065853,            0.026464,           0.0033786,          0.00063198,             0.12674,             0.19941,            0.060999,               0.215,           0.0032043,           0.0032043,            0.071104
                   7,             0.12336,             0.19953,            0.057151,             0.19733,             0.74101,            0.019527,           0.0039212,          0.00070888,             0.12371,             0.19801,            0.056129,             0.19882,           0.0036611,           0.0036611,            0.066961
                   8,             0.12453,              0.1988,            0.054538,             0.19663,             0.54391,            0.020638,            0.006073,           0.0012268,             0.12296,             0.18222,            0.055012,             0.19683,            0.004117,            0.004117,            0.062817
                   9,             0.12342,             0.18615,            0.054926,             0.19621,             0.80814,            0.027471,           0.0043637,            0.000822,             0.12217,             0.22993,            0.056198,             0.19925,           0.0045717,           0.0045717,            0.058672
